"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MB21D2",3.24903405635367e-226,1.31360505187655,0.969,0.429,6.37038107429264e-222,"0","MB21D2"
"CD58",2.85762210758203e-193,1.16669287066817,0.948,0.406,5.60293966633609e-189,"0","CD58"
"CD82",1.45192335723097e-190,1.11223208813557,0.976,0.451,2.84678612652276e-186,"0","CD82"
"SLAMF1",4.10768327635616e-189,1.43927674870164,0.884,0.37,8.05393459995153e-185,"0","SLAMF1"
"C10orf128",2.23014449555098e-185,1.25395442128027,0.802,0.285,4.37264431242681e-181,"0","C10orf128"
"PLEK",4.39760074596042e-182,1.18431523203547,0.881,0.355,8.6223757826046e-178,"0","PLEK"
"CLIC6",4.82277866438912e-182,1.23036561046196,0.764,0.255,9.45602212726775e-178,"0","CLIC6"
"MCOLN2",1.96829231453688e-177,1.06629951213925,0.949,0.416,3.85923074111247e-173,"0","MCOLN2"
"DTX4",1.02415380892219e-175,1.1406458472926,0.869,0.348,2.00805837315374e-171,"0","DTX4"
"PBX4",1.34502793584693e-174,1.10001012223578,0.873,0.348,2.63719627381508e-170,"0","PBX4"
"LAMP3",4.50968989797347e-174,1.25076995634157,0.834,0.318,8.84214898295659e-170,"0","LAMP3"
"ZNF267",1.4065697813091e-173,1.4320475300446,0.759,0.276,2.75786137021275e-169,"0","ZNF267"
"NCK2",1.87899242584691e-173,1.01701143983179,0.96,0.443,3.68414044935804e-169,"0","NCK2"
"PEX26",1.79974601731566e-172,1.03274705182141,0.926,0.385,3.52876201615081e-168,"0","PEX26"
"IRAK2",2.75613962098576e-172,1.07461956300765,0.938,0.406,5.40396295486678e-168,"0","IRAK2"
"B4GALT6",5.82372477936952e-169,1.04238356673847,0.943,0.411,1.14185771749098e-164,"0","B4GALT6"
"CMKLR1",4.74739602998776e-168,1.05891781598753,0.906,0.383,9.308219395997e-164,"0","CMKLR1"
"IL21R",1.56580143950671e-167,1.07582139804162,0.958,0.419,3.0700668824408e-163,"0","IL21R"
"FXYD2",1.91595475236232e-166,1.03775097885316,0.804,0.305,3.75661248295681e-162,"0","FXYD2"
"DNAI2",2.16429970544031e-166,1.30160142537537,0.696,0.232,4.24354243245682e-162,"0","DNAI2"
"PLEKHG1",3.76304044468667e-166,0.951486192643181,0.973,0.468,7.37819339989715e-162,"0","PLEKHG1"
"DAP",1.65428209477199e-163,1.00641725305435,0.909,0.395,3.24355090321944e-159,"0","DAP"
"FSD1L",2.41967796514642e-163,0.884367856791885,0.866,0.36,4.74426258626258e-159,"0","FSD1L"
"PIWIL4",4.87538386413152e-163,1.14874803926654,0.793,0.305,9.55916514240266e-159,"0","PIWIL4"
"TNFRSF8",1.27878931672062e-161,0.98114839426873,0.915,0.4,2.50732221329413e-157,"0","TNFRSF8"
"TGM5",2.76162441774959e-160,1.11249416204851,0.714,0.246,5.41471699588162e-156,"0","TGM5"
"DNASE1L3",3.33199888526144e-159,1.02180760243925,0.833,0.322,6.53305021433211e-155,"0","DNASE1L3"
"LMCD1",3.5236718413783e-159,0.999939696410423,0.798,0.309,6.90886337939043e-155,"0","LMCD1"
"GCSAM",4.36709818647267e-159,1.20451669455523,0.834,0.334,8.56256941421697e-155,"0","GCSAM"
"KDM1B",2.07829409674059e-158,0.9783252677253,0.902,0.394,4.07491123547928e-154,"0","KDM1B"
"C20orf196",3.81545402769522e-158,0.981692816855451,0.911,0.382,7.48096071210202e-154,"0","C20orf196"
"TMEM87B",5.20749159034067e-158,1.00767343285969,0.897,0.386,1.02103287611809e-153,"0","TMEM87B"
"GALNT6",6.86542474951263e-158,1.02341186078905,0.88,0.366,1.34610383063694e-153,"0","GALNT6"
"RAP2A",8.55031887022342e-158,0.971422359818277,0.934,0.404,1.67646102088471e-153,"0","RAP2A"
"MX2",3.80198332774306e-157,1.06749152422069,0.857,0.366,7.45454871070582e-153,"0","MX2"
"AP3M2",4.12093933137696e-157,1.02416757046689,0.873,0.353,8.0799257470308e-153,"0","AP3M2"
"TTF2",5.68810754505874e-157,1.15771220159642,0.854,0.364,1.11526724635967e-152,"0","TTF2"
"CYP7B1",1.20509719893013e-156,0.841033449877826,0.892,0.393,2.36283407794231e-152,"0","CYP7B1"
"MTAP",2.05011613423472e-156,0.917102746956474,0.907,0.391,4.01966270439401e-152,"0","MTAP"
"CYTH1",2.06401416312372e-156,0.997970151867696,0.98,0.465,4.04691256963668e-152,"0","CYTH1"
"GPAT3",2.39746385604978e-156,1.13833128500457,0.773,0.294,4.70070738255681e-152,"0","GPAT3"
"CRTAM",3.94356820683354e-156,1.42399197333001,0.683,0.229,7.73215418313852e-152,"0","CRTAM"
"IL15",4.2760288256036e-156,0.976174169031838,0.848,0.356,8.38400971836098e-152,"0","IL15"
"WDFY1",9.43414975702568e-156,1.00986888754401,0.928,0.408,1.84975374286002e-151,"0","WDFY1"
"MREG",2.23100951491684e-155,0.98483558622529,0.948,0.422,4.37434035589745e-151,"0","MREG"
"TPMT",2.30827425812748e-155,1.14022845133051,0.826,0.331,4.52583333791055e-151,"0","TPMT"
"CD22",3.07751416438778e-155,1.11477480528418,0.816,0.322,6.03408202211513e-151,"0","CD22"
"CYB5A",3.2953349295094e-155,1.19522064657185,0.768,0.295,6.46116319628908e-151,"0","CYB5A"
"CASP8AP2",6.32099378488677e-155,1.10255674485125,0.867,0.365,1.23935725140275e-150,"0","CASP8AP2"
"TYW1B",1.25384881361811e-154,1.00869185291028,0.909,0.398,2.45842136886102e-150,"0","TYW1B"
"PECR",1.97254488563196e-154,1.03222330746368,0.974,0.427,3.86756875725859e-150,"0","PECR"
"INSIG1",2.35545637563518e-154,1.10079534800917,0.851,0.354,4.61834331570789e-150,"0","INSIG1"
"LAPTM5",4.45851773095996e-153,1.0793339004973,0.911,0.39,8.7418157150932e-149,"0","LAPTM5"
"IL2RA",4.6926804194066e-153,1.14078155339638,0.804,0.329,9.20093849833052e-149,"0","IL2RA"
"PPM1K",5.25597581698377e-153,0.963071426422163,0.884,0.356,1.03053917843601e-148,"0","PPM1K"
"RASSF4",3.59023435611477e-152,0.874681412464228,0.892,0.403,7.03937250203423e-148,"0","RASSF4"
"FCHO1",9.97773604594222e-152,0.993870349786868,0.92,0.391,1.95633470652789e-147,"0","FCHO1"
"SMIM14",2.20825150643364e-151,0.937044353174618,0.914,0.395,4.32971872866443e-147,"0","SMIM14"
"TMEM18",3.41840115925868e-151,1.11089876074065,0.852,0.346,6.70245915295849e-147,"0","TMEM18"
"SP140",3.73055231362923e-151,0.930580227577149,0.948,0.426,7.31449392133284e-147,"0","SP140"
"TEC",5.90048732588339e-151,0.956454236801592,0.982,0.452,1.15690854998596e-146,"0","TEC"
