"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",8.16840659924207e-83,1.73758938244113,0.312,0.076,1.60157948191339e-78,"0","C2CD4D"
"2",2.75912246343112e-80,1.84503184205562,0.295,0.069,5.40981141404941e-76,"0","PRKCDBP"
"3",1.91993836773379e-75,1.50162441820106,0.353,0.107,3.76442315761563e-71,"0","ZNF878"
"4",2.57146716678511e-66,1.88273240994772,0.26,0.065,5.04187567391557e-62,"0","CCR8"
"5",3.86277061821286e-52,1.89259200202172,0.203,0.049,7.57373435112995e-48,"0","MT1M"
"6",2.10714545337027e-47,1.6050087124577,0.244,0.076,4.1314800904231e-43,"0","FFAR1"
"7",4.21289706137002e-40,1.55960722937801,0.207,0.065,8.2602272682282e-36,"0","G0S2"
"8",4.08283384987198e-37,1.58234425396468,0.155,0.039,8.005212329444e-33,"0","VGLL2"
"9",1.6969324566774e-36,1.79676284769499,0.129,0.027,3.32717546780737e-32,"0","UBD"
"10",1.44587331123945e-31,1.65896543576456,0.124,0.029,2.8349238013472e-27,"0","FABP9"
"11",7.95408764687551e-211,2.14305489076473,0.907,0.801,1.55955796492288e-206,"1","RLF"
"12",1.47095449537796e-46,2.20709586444194,0.376,0.199,2.88410047908757e-42,"1","ZIC5"
"13",2.77592527594971e-41,2.25649095768634,0.423,0.275,5.44275668855459e-37,"1","DUSP6"
"14",4.53339777398818e-27,2.41099665368119,0.182,0.073,8.88863301545862e-23,"1","C8orf4"
"15",1.37057537879852e-24,2.14570956449216,0.445,0.393,2.68728714521026e-20,"1","KCTD12"
"16",4.98653816548707e-16,2.3011928766525,0.183,0.1,9.77710538107049e-12,"1","FOXA1"
"17",2.60071436441145e-12,2.16296870961009,0.297,0.243,5.09922065430153e-08,"1","SP9"
"18",1.34887495695455e-05,2.12803994616108,0.212,0.182,0.264473912810078,"1","DMRTA2"
"19",0.000893914707366182,2.15600962856899,0.088,0.142,1,"1","FANCD2OS"
"20",0.00258117988238249,2.13384008483626,0.213,0.207,1,"1","TMEM158"
"21",2.28186742754456e-139,1.93376169361164,0.51,0.093,4.47405746518663e-135,"2","TBL1Y"
"22",4.21176545680305e-71,1.90762402037615,0.496,0.201,8.25800853115373e-67,"2","HOXA10-HOXA9"
"23",2.04791457093979e-67,1.97962792528602,0.346,0.095,4.01534609924164e-63,"2","HOXA7"
"24",2.85733310516835e-55,2.32894246653378,0.159,0.021,5.60237301930359e-51,"2","NLGN4Y"
"25",2.49429627003227e-36,1.96072804249197,0.111,0.016,4.89056669665226e-32,"2","UTY"
"26",4.75594411594917e-27,1.97873600640952,0.314,0.163,9.32497962814155e-23,"2","RP11-211G3.2"
"27",4.92971599877249e-24,2.11241857340728,0.238,0.107,9.66569415879322e-20,"2","HOXA10"
"28",2.97921128104709e-19,2.26103160380657,0.165,0.066,5.84133955874903e-15,"2","GPR85"
"29",3.81853428844413e-10,2.18796849065165,0.112,0.052,7.4870001793524e-06,"2","GRM6"
"30",5.42424272676091e-08,1.90660802840858,0.105,0.052,0.00106353127143601,"2","DBX1"
"31",5.56280433529389e-67,1.26490618610167,0.603,0.242,1.09069904602107e-62,"3","PPP1R3B"
"32",9.75703281081088e-55,1.38006572784283,0.526,0.21,1.91306142321569e-50,"3","MOCS2"
"33",7.26415392171282e-47,1.22557382502109,0.556,0.258,1.42428265943023e-42,"3","C4orf3"
"34",1.68689244856895e-43,1.2513619269563,0.504,0.221,3.30749002390913e-39,"3","SDHAF4"
"35",2.6800433976977e-43,1.24373254791723,0.498,0.213,5.25476108986587e-39,"3","TMEM126A"
"36",3.45814869737621e-26,1.2454630743742,0.335,0.148,6.78039215094553e-22,"3","LGALS14"
"37",9.40933231943692e-25,1.44638199399099,0.161,0.045,1.844887787872e-20,"3","BHLHA15"
"38",1.22912527984823e-22,1.23050374704639,0.208,0.074,2.40994593619843e-18,"3","LEFTY2"
"39",1.79166831862837e-22,1.34725457729813,0.202,0.07,3.51292407233464e-18,"3","IFNG"
